Descrição;Média Mensal
Comércio varejista de ferragens e ferramentas;4
Instalação e manutenção elétrica;1
Atividades de administração de fundos por contrato ou comissão;1
Restaurantes e similares;1
Construção de edifícios;1
Construção de edifícios;2.071428571
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;1.333333333
Comércio varejista de calçados;3
Comércio varejista de calçados;3.5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Serviços especializados para construção não especificados anteriormente;2
Restaurantes e similares;1
Rerrefino de óleos lubrificantes;2.157894737
Comércio varejista de suvenires, bijuterias e artesanatos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Desenvolvimento e licenciamento de programas de computador não-customizáveis;1
Atividades de condicionamento físico;2.5
Serviços de engenharia;1
Educação superior - graduação;1
Serviços de entrega rápida;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;8
Fabricação de alimentos e pratos prontos;1
Restaurantes e similares;1
Serviços de engenharia;1
Restaurantes e similares;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;8.666666667
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Ensino médio;31.5
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;1
Estacionamento de veículos;1
Incorporação de empreendimentos imobiliários;1.5
Carga e descarga;1
Comércio varejista de bebidas;1.2
Estacionamento de veículos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;2.944444444
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;8
Comércio a varejo de peças e acessórios novos para veículos automotores;3.5
Condomínios prediais;1
Desenvolvimento e licenciamento de programas de computador não-customizáveis;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Cartórios;1
Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas;1
Construção de obras de arte especiais;1
Fabricação de alimentos para animais;1
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;3.333333333
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.666666667
Comércio varejista especializado de equipamentos e suprimentos de informática;2
Educação superior - graduação e pós-graduação;3
Atividades de associações de defesa de direitos sociais;1
Coleta de resíduos não-perigosos;1
Lanchonetes, casas de chá, de sucos e similares;1
Comércio varejista especializado de equipamentos e suprimentos de informática;2.5
Serviços de comunicação multimídia - SCM;1
Serviços combinados de escritório e apoio administrativo;7.666666667
Gestão de ativos intangíveis não-financeiros;1
Fabricação de outros produtos de metal não especificados anteriormente;1.75
Hotéis;1.181818182
Comércio varejista de artigos do vestuário e acessórios;1
Lanchonetes, casas de chá, de sucos e similares;1
Comércio varejista de calçados;1
Comércio varejista de artigos do vestuário e acessórios;2
Atividades de monitoramento de sistemas de segurança eletrônico;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;5
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1
Instalação de outros equipamentos não especificados anteriormente;1
Fabricação de produtos diversos não especificados anteriormente;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Desenvolvimento de programas de computador sob encomenda;1
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;1
Comércio varejista de combustíveis para veículos automotores;1.111111111
Comércio varejista de combustíveis para veículos automotores;1
Armazéns gerais - emissão de warrant;1.636363636
Construção de edifícios;13
Suporte técnico, manutenção e outros serviços em tecnologia da informação;1.666666667
Atividade médica ambulatorial restrita a consultas;1
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;1.25
Restaurantes e similares;1
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio atacadista de suprimentos para informática;1.2
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;1.25
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;1
Coleta de resíduos não-perigosos;1
Serviços de pintura de edifícios em geral;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Atividades de fisioterapia;1
Atividades de vigilância e segurança privada;1
Corretagem na compra e venda e avaliação de imóveis;1
Comércio varejista de artigos fotográficos e para filmagem;4
Carga e descarga;1.833333333
Locação de outros meios de transporte não especificados anteriormente, sem condutor;1
Construção de edifícios;1
Comércio varejista especializado de equipamentos e suprimentos de informática;1
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Atividade odontológica;1
Comércio varejista de laticínios e frios;2
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;1
Restaurantes e similares;1
Atividades de teleatendimento;1.571428571
Atividades de contabilidade;1
Comércio varejista de calçados;1.583333333
Montagem de estruturas metálicas;1.5
Serviços de manutenção e reparação mecânica de veículos automotores;1
Condomínios prediais;1.222222222
Serviços combinados de escritório e apoio administrativo;1
Fabricação de embalagens de material plástico;1.333333333
Fabricação de laticínios;1
Comércio varejista de calçados;1
Gestão de ativos intangíveis não-financeiros;4
Atividade odontológica;2
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1.157894737
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1.25
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Coleta de resíduos não-perigosos;1
Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;1
Comércio varejista de artigos do vestuário e acessórios;1
Apart-hotéis;1
Restaurantes e similares;1
Serviços de cartografia, topografia e geodésia;1
Seleção e agenciamento de mão-de-obra;1
Recuperação de sucatas de alumínio;1
Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;1
Instalação e manutenção elétrica;1
Restaurantes e similares;3
Restaurantes e similares;20.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio varejista de suvenires, bijuterias e artesanatos;1
Seleção e agenciamento de mão-de-obra;1.642857143
Estacionamento de veículos;1
Comércio varejista de artigos do vestuário e acessórios;1
Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;1
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos do vestuário e acessórios;1
Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;1
Fabricação de artigos de metal para uso doméstico e pessoal;1
Comércio varejista de artigos de óptica;1.166666667
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;1
Serviços de engenharia;1
Fabricação de partes para calçados, de qualquer material;1
Transporte rodoviário de produtos perigosos;1
Atividade odontológica;1
Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;2.5
Treinamento em desenvolvimento profissional e gerencial;1
Lanchonetes, casas de chá, de sucos e similares;1
Locação de mão-de-obra temporária;1
Manutenção e reparação de máquinas-ferramenta;1
Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;1
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Comércio varejista de artigos de colchoaria;1
Manutenção e reparação de válvulas industriais;1
Laboratórios clínicos;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1.333333333
Serviços de tomografia;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Gestão e administração da propriedade imobiliária;2
Restaurantes e similares;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.590909091
Condomínios prediais;1
Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;1
Comércio varejista de artigos de óptica;1
Comércio atacadista de ferragens e ferramentas;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;1
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;1
Comércio a varejo de peças e acessórios novos para veículos automotores;24
Compra e venda de imóveis próprios;1.2
Condomínios prediais;1
Estacionamento de veículos;1
Outras obras de engenharia civil não especificadas anteriormente;1
Comércio varejista de calçados;4.5
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Atividades de associações de defesa de direitos sociais;1
Serviços combinados de escritório e apoio administrativo;2.571428571
Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório;1
Instituições de longa permanência para idosos;1
Promoção de vendas;3
Emissão de vales-alimentação, vales-transporte e similares;1
Edição de jornais diários;1
Fabricação de embalagens de material plástico;1
Armazéns gerais - emissão de warrant;1
Produção de forjados de aço;1
Locação de mão-de-obra temporária;1.6
Fabricação de ferramentas;2.090909091
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;1
Lanchonetes, casas de chá, de sucos e similares;1.666666667
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
Restaurantes e similares;1
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;2.333333333
Serviços combinados para apoio a edifícios, exceto condomínios prediais;3.5
Condomínios prediais;1
Obras de urbanização - ruas, praças e calçadas;1
Administração pública em geral;1
Educação superior - graduação;1
Ensino fundamental;1
Instalação e manutenção elétrica;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;9.5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;1
Comércio atacadista de bebidas não especificadas anteriormente;1
Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;1
Comércio atacadista de cosméticos e produtos de perfumaria;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;4.543478261
Serviços de tomografia;2.8
Comércio varejista de móveis;1
Ensino fundamental;1
Corretagem no aluguel de imóveis;1
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;1
Comércio varejista de calçados;1
Atividades de associações de defesa de direitos sociais;1
Condomínios prediais;1
Educação superior - graduação;1
Atividades de organizações religiosas ou filosóficas;1
Administração pública em geral;3
Atividades de profissionais da área de saúde não especificadas anteriormente;1.461538462
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;1
Construção de edifícios;1
Edição integrada à impressão de jornais diários;1.19047619
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;1.25
Fabricação de componentes eletrônicos;1
Aluguel de máquinas e equipamentos agrícolas sem operador;7
Fabricação de outros produtos químicos não especificados anteriormente;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Produção de artefatos estampados de metal;1
Condomínios prediais;13
Educação superior - graduação;1
Fabricação de águas envasadas;1
Fabricação de cimento;1
Comércio atacadista de tintas, vernizes e similares;2
Administração pública em geral;1
Organização logística do transporte de carga;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Laboratórios clínicos;1
Holdings de instituições não-financeiras;1
Atividades de contabilidade;1
Serviços de assistência social sem alojamento;1
Educação superior - graduação e pós-graduação;1
Fabricação de óleos vegetais refinados, exceto óleo de milho;1
Limpeza em prédios e em domicílios;3.204545455
Captação, tratamento e distribuição de água;1.2
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1.583333333
Educação superior - graduação e pós-graduação;1
Transporte rodoviário de produtos perigosos;1
Curtimento e outras preparações de couro;2.736842105
Atividades de associações de defesa de direitos sociais;1
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;1.375
Condomínios prediais;1
Perfurações e sondagens;1
Confecção de roupas íntimas;1
Fabricação de embalagens de material plástico;1
Atividades de cobranças e informações cadastrais;28.86486486
Fabricação de móveis com predominância de madeira;1
Curtimento e outras preparações de couro;1
Construção de redes de transportes por dutos, exceto para água e esgoto;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Fabricação de embalagens de material plástico;1
Transporte aéreo de passageiros regular;1
Fundição de metais não-ferrosos e suas ligas;1
Recuperação de sucatas de alumínio;1
Serviços combinados de escritório e apoio administrativo;1
Abate de aves;1
Serviços de arquitetura;1
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;1.952380952
Desenvolvimento e licenciamento de programas de computador customizáveis;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Fabricação de laticínios;5
Locação de mão-de-obra temporária;1
Condomínios prediais;1
Edição de jornais não diários;1
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;2
Laboratórios clínicos;1.6
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Comércio varejista especializado de equipamentos e suprimentos de informática;1
Fabricação de artefatos de material plástico para usos industriais;1
Fabricação de materiais para medicina e odontologia;1.166666667
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1.222222222
Comércio varejista de outros produtos não especificados anteriormente;1.5
Fornecimento e gestão de recursos humanos para terceiros;1
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
Aluguel de imóveis próprios;1
Atividades de teleatendimento;8.105263158
Atividades de teleatendimento;1
Limpeza em prédios e em domicílios;1
Limpeza em prédios e em domicílios;1.25
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1.7
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;1
Fabricação de laticínios;1
Transporte rodoviário de produtos perigosos;1
Desenvolvimento e licenciamento de programas de computador customizáveis;1.333333333
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;1
Fabricação de produtos de panificação industrial;1.777777778
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.333333333
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Condomínios prediais;1
Geração de energia elétrica;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1.2
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;1
Impressão de material para outros usos;1
Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.);1
Atividades de organizações religiosas ou filosóficas;1
Condomínios prediais;1
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;1
Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;1
Comércio por atacado de reboques e semi-reboques novos e usados;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Serviços especializados para construção não especificados anteriormente;1
Comércio a varejo de motocicletas e motonetas novas;1.166666667
Construção de rodovias e ferrovias;1.5
Fabricação de azulejos e pisos;1
Recuperação de materiais não especificados anteriormente;1.5
Atividades de vigilância e segurança privada;1.666666667
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;2.608695652
Fabricação de produtos de limpeza e polimento;1
Comércio atacadista de materiais de construção em geral;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;2
Fabricação de móveis com predominância de madeira;1
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;1
Atividades de contabilidade;1
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
Suporte técnico, manutenção e outros serviços em tecnologia da informação;1.307692308
Suporte técnico, manutenção e outros serviços em tecnologia da informação;1.375
Serviços de entrega rápida;1
Condomínios prediais;1.090909091
Ensino médio;5
Comércio a varejo de pneumáticos e câmaras-de-ar;1
Comércio varejista de artigos do vestuário e acessórios;1
Educação superior - graduação e pós-graduação;1
Atividades de vigilância e segurança privada;1.307692308
Comércio varejista de combustíveis para veículos automotores;1.368421053
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;1
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;1
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;1
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;1
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;2
Operação dos aeroportos e campos de aterrissagem;1.428571429
Operação dos aeroportos e campos de aterrissagem;1
Serviços de tratamento e revestimento em metais;1
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;10.4
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;1
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;1
Recuperação de materiais metálicos, exceto alumínio;1
Fabricação de materiais para medicina e odontologia;1.333333333
Construção de edifícios;1.4
Fabricação de peças e acessórios para veículos ferroviários;1
Comércio varejista de materiais de construção em geral;4
Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;1
Serviços combinados de escritório e apoio administrativo;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;14.66666667
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.333333333
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;3.052631579
Atividades do Operador Portuário;2
Fabricação de outros produtos de metal não especificados anteriormente;1
Comércio varejista de ferragens e ferramentas;1
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;4.5
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;1.285714286
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos do vestuário e acessórios;1.5
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de artigos de colchoaria;1
Comércio varejista de artigos do vestuário e acessórios;1
Recuperação de materiais metálicos, exceto alumínio;1
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;2
Fabricação de esquadrias de metal;1
Fabricação de outros produtos de metal não especificados anteriormente;1
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Fornecimento e gestão de recursos humanos para terceiros;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1.25
Corretoras de títulos e valores mobiliários;1
Construção de edifícios;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio varejista de calçados;1
Geração de energia elétrica;1.714285714
Atividades de rádio;1
Gestão e administração da propriedade imobiliária;1
Caixas econômicas;1
Caixas econômicas;1
Obras de montagem industrial;1
Comércio varejista de combustíveis para veículos automotores;1
Transporte rodoviário de produtos perigosos;1
Transporte rodoviário de produtos perigosos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.142857143
Outras atividades associativas profissionais;1.5
Fabricação de estruturas metálicas;1
Hotéis;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;1.5
Defesa;1
Defesa;1
Defesa;1
Defesa;1
Defesa;19.8
Defesa;57
Defesa;9.222222222
Administração pública em geral;1
Administração pública em geral;1
Administração pública em geral;1
Administração pública em geral;1
Administração pública em geral;1
Administração pública em geral;1
Atividade Econônica não informada;1
Desenvolvimento e licenciamento de programas de computador não-customizáveis;14
Serviços advocatícios;1
Administração pública em geral;1
Comércio varejista de outros produtos não especificados anteriormente;1
Administração pública em geral;1.2
Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios;1
Aluguel de objetos do vestuário, jóias e acessórios;1
Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;1
Educação superior - graduação;1
Fabricação de embalagens de material plástico;5
Atividades de organizações religiosas ou filosóficas;4.75
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Fabricação de calçados de materiais não especificados anteriormente;2.75
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Restaurantes e similares;2
Lanchonetes, casas de chá, de sucos e similares;1
Restaurantes e similares;1.166666667
Lanchonetes, casas de chá, de sucos e similares;2
Fabricação de tintas, vernizes, esmaltes e lacas;2.666666667
Comércio varejista especializado de equipamentos de telefonia e comunicação;1
Confecção, sob medida, de roupas profissionais;1
Impressão de livros, revistas e outras publicações periódicas;1
Comércio varejista de combustíveis para veículos automotores;6.8
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;1
Fabricação de açúcar em bruto;2
Administração pública em geral;1.5
Administração pública em geral;1
Administração pública em geral;1
Serviços advocatícios;1
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;1
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;1
Clínicas e residências geriátricas;1
Serviços de cartografia, topografia e geodésia;2.666666667
Fabricação de produtos do refino de petróleo;2
Atividades de associações de defesa de direitos sociais;1.333333333
Locação de automóveis sem condutor;1
Condomínios prediais;1
Administração pública em geral;1
Administração pública em geral;1
Segurança e ordem pública;1
Segurança e ordem pública;1
Segurança e ordem pública;1
Segurança e ordem pública;1
Segurança e ordem pública;1
Segurança e ordem pública;1.428571429
Defesa;36.5
Serviços advocatícios;1
Defesa;1
Administração pública em geral;9.5
Administração pública em geral;1
Defesa;1
Defesa;77.28571429
Atividades de apoio à gestão de saúde;1
Administração pública em geral;1.25
Administração pública em geral;2.384615385
Administração pública em geral;1.428571429
Administração pública em geral;2.9
Serviços especializados para construção não especificados anteriormente;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Fabricação de embalagens de material plástico;1
Administração pública em geral;1.4
Coleta de resíduos não-perigosos;1
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Comércio varejista especializado de equipamentos e suprimentos de informática;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1.25
Fabricação de calçados de couro;1
Transporte rodoviário de produtos perigosos;1
Obras de urbanização - ruas, praças e calçadas;1.25
Atividades de organizações religiosas ou filosóficas;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Tratamentos térmicos, acústicos ou de vibração;1
Locação de mão-de-obra temporária;1
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;1
Fabricação de embalagens de papel;1
Hotéis;1
Hotéis;1
Hotéis;1
Comércio varejista especializado de equipamentos e suprimentos de informática;1
Construção de edifícios;1
Recuperação de materiais não especificados anteriormente;6
Atividades associativas não especificadas anteriormente;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Educação infantil - pré-escola;1
Justiça;1.5625
Administração pública em geral;1
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;1
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;1.5
Justiça;1.5
